Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Index,International Securities Identification Number
BEML,BEML LTD,2794.65,INR,1.8514131603404043,522807,1.2714264591295854,116379725814,INR,44.459593179569254,62.8582,INR,43.309994824642,0.733557575323839,Producer manufacturing,Buy,"Nifty 500, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE258A01016
BEPL,BHANSALI ENG. POLYMERS LTD,111.29,INR,1.7183072845261036,727498,1.210104290484378,27710389083,INR,15.306431204269131,7.2708,INR,18.10532471329717,3.59227660529861,Process industries,,"Nifty MicroCap 250, Nifty Total Market",INE922A01025
BERGEPAINT,BERGER PAINTS (I) LTD,500.3,INR,-1.486659446687016,943473,1.3492092206467088,583005668202,INR,51.169022439503344,9.7774,INR,0.7460072127769194,0.6999300069993,Process industries,Sell,"Nifty 500, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250",INE463A01038
BHARATFORG,BHARAT FORGE LTD,1181.3,INR,-1.0885037260319852,2395430,2.1260670807744493,564264097351,INR,61.54014461647461,19.1956,INR,5.061053369018482,0.762550307138318,Producer manufacturing,Buy,"Nifty 500, Nifty Auto, Nifty Infrastructure, Nifty 200, Nifty MidCap Select, Nifty MidCap 100, Nifty MidCap 50, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty LargeMidCap 250",INE465A01025
BHARTIARTL,BHARTI AIRTEL LTD,1725.8,INR,1.2051018912182938,14715349,2.1769894696864034,9837763361219,INR,42.63877118905791,40.4749,INR,188.36902777184054,0.463418872733592,Communications,Strong buy,"Nifty 50, Nifty 500, Nifty Infrastructure, Nifty 200, Nifty India Consumption, Nifty Services Sector, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 200 Momentum 30, Nifty India Digital, Nifty 50 Equal Weight, Nifty LargeMidCap 250",INE397D01024
BHARTIHEXA,BHARTI HEXACOM LTD,1337.1,INR,0.6587119358602779,446180,0.8307938552015204,667700012207,INR,53.578297804135275,24.956,INR,,0.299535719634566,Communications,Strong buy,"Nifty 500, Nifty 200, Nifty MidCap 100, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250",INE343G01021
BHEL,BHEL,211.95,INR,2.6193473419192395,14567468,1.6923899663540427,737501003253,INR,142.1815254578386,1.4907,INR,,0.118035882908404,Producer manufacturing,Neutral,"Nifty 500, Nifty Next 50, Nifty 200, Nifty Energy, Nifty PSE, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty LargeMidCap 250",INE257A01026
BIKAJI,BIKAJI FOODS INTERN LTD,697,INR,-0.3289003289003224,221055,0.6218127717820123,174575408583,INR,64.03719118363148,10.8843,INR,45.302237411224425,0.143544103925931,Consumer non-durables,Strong buy,"Nifty 500, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE00E101023
BIOCON,BIOCON LIMITED.,344.1,INR,0.8795074758135444,1452797,0.7070162848650802,412946376259,INR,51.365108745950955,6.6991,INR,-32.98688567227186,0.145369966564908,Health technology,Buy,"Nifty 500, Nifty Pharma, Nifty Healthcare, Nifty 200, Nifty MidCap 100, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250",INE376G01013
BIRLACORPN,BIRLA CORPORATION LTD,1042.8,INR,0.23549766905368824,85189,0.44751946593317227,80266514870,INR,34.61852562527803,30.1226,INR,-25.69421318394522,0.959370652851729,Non-energy minerals,Strong buy,"Nifty 500, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE340A01012
